,,,,,,,,,,,,,,OD490,,,,,,,,,OD600,,,,,,,,,,,,,,,
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.123 ,0.107 ,0.111 ,0.111 ,0.116 ,0.118 ,0.114 ,0.108 ,0.116 ,0.118 ,0.132 ,0.122 ,,0.089 ,0.081 ,0.079 ,0.077 ,0.082 ,0.081 ,0.081 ,0.080 ,0.078 ,0.084 ,0.085 ,0.088 
,LA-T2,,,,,,LAEE-T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.911 ,0.836 ,0.925 ,0.769 ,0.803 ,0.895 ,0.295 ,0.278 ,0.312 ,0.273 ,0.299 ,0.262 ,,0.289 ,0.269 ,0.292 ,0.254 ,0.260 ,0.286 ,0.125 ,0.126 ,0.138 ,0.124 ,0.130 ,0.124 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.120 ,0.100 ,0.103 ,0.108 ,0.120 ,0.207 ,0.163 ,0.171 ,0.165 ,0.159 ,0.178 ,0.179 ,,0.088 ,0.093 ,0.080 ,0.081 ,0.085 ,0.105 ,0.094 ,0.097 ,0.095 ,0.091 ,0.098 ,0.099 
,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,0-30,0.1-30,0.25-30,0.5-30,1-30,2-30,,0.113 ,0.107 ,0.107 ,0.109 ,0.111 ,0.126 ,0.133 ,0.149 ,0.148 ,0.147 ,0.158 ,0.153 ,,0.088 ,0.078 ,0.078 ,0.082 ,0.082 ,0.087 ,0.084 ,0.091 ,0.089 ,0.090 ,0.096 ,0.088 
,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,0-10,0.1-10,0.25-10,0.5-10,1-10,2-10,,0.112 ,0.104 ,0.107 ,0.105 ,0.117 ,0.126 ,0.125 ,0.116 ,0.136 ,0.132 ,0.136 ,0.126 ,,0.086 ,0.079 ,0.081 ,0.079 ,0.084 ,0.085 ,0.083 ,0.083 ,0.099 ,0.090 ,0.089 ,0.085 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate 7,LA-T4,,,,,,LAEE-T4,,,,,,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 ,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 
,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.892 ,0.860 ,0.868 ,0.848 ,0.821 ,0.813 ,0.858 ,0.902 ,0.875 ,0.883 ,0.911 ,0.863 ,,0.285 ,0.273 ,0.275 ,0.271 ,0.258 ,0.258 ,0.272 ,0.280 ,0.277 ,0.281 ,0.284 ,0.277 
,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.143 ,0.124 ,0.129 ,0.140 ,0.148 ,0.965 ,0.282 ,0.262 ,0.237 ,0.241 ,0.304 ,0.795 ,,0.087 ,0.079 ,0.079 ,0.084 ,0.086 ,0.293 ,0.118 ,0.113 ,0.108 ,0.111 ,0.126 ,0.257 
